player_code,season_id,game_week,goals_scored,goals_conceded
2025-26-player-5,2025-26,6,1,0
2025-26-player-5,2025-26,19,1,0
2025-26-player-5,2025-26,20,1,0
2025-26-player-6,2025-26,28,1,0
2025-26-player-7,2025-26,1,1,0
2025-26-player-8,2025-26,2,2,0
2025-26-player-8,2025-26,28,1,0
2025-26-player-16,2025-26,2,1,0
2025-26-player-16,2025-26,7,1,0
2025-26-player-16,2025-26,11,1,0
2025-26-player-16,2025-26,14,1,0
2025-26-player-16,2025-26,26,1,0
2025-26-player-16,2025-26,29,1,0
2025-26-player-16,2025-26,35,1,0
2025-26-player-17,2025-26,18,1,0
2025-26-player-18,2025-26,24,1,0
2025-26-player-18,2025-26,26,1,0
2025-26-player-18,2025-26,38,1,0
2025-26-player-19,2025-26,5,1,0
2025-26-player-20,2025-26,8,1,0
2025-26-player-20,2025-26,11,1,0
2025-26-player-20,2025-26,12,1,0
2025-26-player-20,2025-26,15,1,0
2025-26-player-20,2025-26,19,1,0
2025-26-player-20,2025-26,36,1,0
2025-26-player-21,2025-26,7,1,0
2025-26-player-21,2025-26,10,1,0
2025-26-player-21,2025-26,20,2,0
2025-26-player-22,2025-26,6,1,0
2025-26-player-22,2025-26,13,1,0
2025-26-player-22,2025-26,14,1,0
2025-26-player-22,2025-26,23,1,0
2025-26-player-26,2025-26,4,2,0
2025-26-player-26,2025-26,19,1,0
2025-26-player-26,2025-26,24,1,0
2025-26-player-26,2025-26,25,1,0
2025-26-player-30,2025-26,33,1,0
2025-26-player-30,2025-26,37,1,0
2025-26-player-31,2025-26,19,1,0
2025-26-player-31,2025-26,24,1,0
2025-26-player-31,2025-26,38,1,0
2025-26-player-266,2025-26,9,1,0
2025-26-player-266,2025-26,12,3,0
2025-26-player-266,2025-26,27,2,0
2025-26-player-266,2025-26,34,1,0
2025-26-player-666,2025-26,2,2,0
2025-26-player-666,2025-26,4,1,0
2025-26-player-666,2025-26,10,1,0
2025-26-player-666,2025-26,17,1,0
2025-26-player-666,2025-26,24,1,0
2025-26-player-666,2025-26,25,2,0
2025-26-player-666,2025-26,27,2,0
2025-26-player-666,2025-26,30,1,0
2025-26-player-666,2025-26,32,1,0
2025-26-player-666,2025-26,35,2,0
2025-26-player-700,2025-26,30,1,0
2025-26-player-725,2025-26,26,1,0
2025-26-player-36,2025-26,5,1,0
2025-26-player-36,2025-26,9,1,0
2025-26-player-36,2025-26,15,1,0
2025-26-player-47,2025-26,8,1,0
2025-26-player-47,2025-26,12,2,0
2025-26-player-47,2025-26,16,2,0
2025-26-player-47,2025-26,17,2,0
2025-26-player-47,2025-26,25,1,0
2025-26-player-47,2025-26,33,1,0
2025-26-player-47,2025-26,37,1,0
2025-26-player-50,2025-26,6,1,0
2025-26-player-50,2025-26,8,1,0
2025-26-player-50,2025-26,11,1,0
2025-26-player-50,2025-26,15,1,0
2025-26-player-50,2025-26,23,1,0
2025-26-player-50,2025-26,35,1,0
2025-26-player-53,2025-26,7,2,0
2025-26-player-53,2025-26,11,1,0
2025-26-player-53,2025-26,14,1,0
2025-26-player-54,2025-26,6,1,0
2025-26-player-54,2025-26,20,2,0
2025-26-player-54,2025-26,31,1,0
2025-26-player-54,2025-26,37,1,0
2025-26-player-55,2025-26,11,1,0
2025-26-player-55,2025-26,30,1,0
2025-26-player-55,2025-26,36,1,0
2025-26-player-58,2025-26,13,1,0
2025-26-player-59,2025-26,11,1,0
2025-26-player-59,2025-26,14,1,0
2025-26-player-64,2025-26,6,1,0
2025-26-player-64,2025-26,14,2,0
2025-26-player-64,2025-26,18,2,0
2025-26-player-64,2025-26,19,1,0
2025-26-player-64,2025-26,20,1,0
2025-26-player-64,2025-26,23,1,0
2025-26-player-64,2025-26,31,1,0
2025-26-player-64,2025-26,33,2,0
2025-26-player-64,2025-26,36,1,0
2025-26-player-64,2025-26,37,2,0
2025-26-player-64,2025-26,38,2,0
2025-26-player-699,2025-26,29,1,0
2025-26-player-808,2025-26,27,1,0
2025-26-player-808,2025-26,33,1,0
2025-26-player-197,2025-26,16,1,0
2025-26-player-198,2025-26,23,1,0
2025-26-player-200,2025-26,2,1,0
2025-26-player-200,2025-26,3,1,0
2025-26-player-200,2025-26,5,1,0
2025-26-player-200,2025-26,6,1,0
2025-26-player-200,2025-26,21,1,0
2025-26-player-200,2025-26,26,1,0
2025-26-player-200,2025-26,28,1,0
2025-26-player-200,2025-26,36,1,0
2025-26-player-205,2025-26,2,1,0
2025-26-player-205,2025-26,11,1,0
