season_code,fpl_permanent_code,full_name,season_id
2024-25-player-742,100000084,David Moyes,2024-25
2024-25-player-737,100037568,Unai Emery,2024-25
2024-25-player-736,100037973,Pep Guardiola,2024-25
2024-25-player-746,100038215,Eddie Howe,2024-25
2024-25-player-751,100040854,Vítor Manuel de Oliveira Lopes Pereira,2024-25
2024-25-player-753,100041800,Marco Alexandre Saraiva da Silva,2024-25
2024-25-player-747,100041808,Nuno Herlander Simões Espírito Santo,2024-25
2024-25-player-749,100041880,Ange Postecoglou,2024-25
2024-25-player-752,100042830,Thomas Frank,2024-25
2024-25-player-741,100044409,Oliver Glasner,2024-25
2024-25-player-750,100046435,Graham Potter,2024-25
2024-25-player-743,100047417,Kieran McKenna,2024-25
2024-25-player-748,100047426,Simon Rusk,2024-25
2024-25-player-740,100048548,Enzo Maresca,2024-25
2024-25-player-738,100050427,Andoni Iraola,2024-25
2024-25-player-754,100050995,Ruud van Nistelrooij,2024-25
2024-25-player-735,100051017,Mikel Arteta,2024-25
2024-25-player-744,100052173,Arne Slot,2024-25
2024-25-player-745,100053636,Ruben Filipe Marques Diogo Amorim,2024-25
2024-25-player-739,100053901,Fabian Hürzeler,2024-25
2018-19-player-240,100059,Alberto Moreno,2018-19
2018-19-player-266,100180,Danilo Luiz da Silva,2018-19
2019-20-player-209,100180,Danilo Luiz da Silva,2019-20
2018-19-player-507,100649,Bernard Anício Caldeira Duarte,2018-19
2019-20-player-152,100649,Bernard Anício Caldeira Duarte,2019-20
2020-21-player-154,100649,Bernard Anício Caldeira Duarte,2020-21
2021-22-player-167,100649,Bernard Anício Caldeira Duarte,2021-22
2019-20-player-484,101061,Philip Heise,2019-20
2018-19-player-510,101105,Joe Bryan,2018-19
2020-21-player-182,101105,Joe Bryan,2020-21
2022-23-player-206,101105,Joe Bryan,2022-23
2018-19-player-312,101148,Jamaal Lascelles,2018-19
2019-20-player-258,101148,Jamaal Lascelles,2019-20
2020-21-player-328,101148,Jamaal Lascelles,2020-21
2021-22-player-299,101148,Jamaal Lascelles,2021-22
2022-23-player-360,101148,Jamaal Lascelles,2022-23
2023-24-player-419,101148,Jamaal Lascelles,2023-24
2024-25-player-407,101148,Jamaal Lascelles,2024-25
2025-26-player-480,101148,Jamaal Lascelles,2025-26
2018-19-player-338,101178,James Ward-Prowse,2018-19
2019-20-player-321,101178,James Ward-Prowse,2019-20
2020-21-player-370,101178,James Ward-Prowse,2020-21
2021-22-player-341,101178,James Ward-Prowse,2021-22
2022-23-player-407,101178,James Ward-Prowse,2022-23
2023-24-player-664,101178,James Ward-Prowse,2023-24
2024-25-player-531,101178,James Ward-Prowse,2024-25
2025-26-player-614,101178,James Ward-Prowse,2025-26
2018-19-player-9,101184,Calum Chambers,2018-19
2019-20-player-467,101184,Calum Chambers,2019-20
2020-21-player-13,101184,Calum Chambers,2020-21
2021-22-player-10,101184,Calum Chambers,2021-22
2022-23-player-32,101184,Calum Chambers,2022-23
2023-24-player-37,101184,Calum Chambers,2023-24
2018-19-player-484,101188,Lucas Digne,2018-19
2019-20-player-141,101188,Lucas Digne,2019-20
2020-21-player-155,101188,Lucas Digne,2020-21
2021-22-player-168,101188,Lucas Digne,2021-22
2022-23-player-33,101188,Lucas Digne,2022-23
2023-24-player-42,101188,Lucas Digne,2023-24
2024-25-player-36,101188,Lucas Digne,2024-25
2025-26-player-37,101188,Lucas Digne,2025-26
2022-23-player-728,101338,Marcel Sabitzer,2022-23
2020-21-player-654,101394,Okay Yokuslu,2020-21
2018-19-player-465,101537,Felipe Anderson Pereira Gomes,2018-19
2019-20-player-390,101537,Felipe Anderson Pereira Gomes,2019-20
2020-21-player-440,101537,Felipe Anderson Pereira Gomes,2020-21
2018-19-player-304,101582,Frederico Rodrigues de Paula Santos,2018-19
2019-20-player-244,101582,Frederico Rodrigues de Paula Santos,2019-20
2020-21-player-299,101582,Frederico Rodrigues de Paula Santos,2020-21
2021-22-player-274,101582,Frederico Rodrigues de Paula Santos,2021-22
2022-23-player-331,101582,Frederico Rodrigues de Paula Santos,2022-23
2023-24-player-381,101582,Frederico Rodrigues de Paula Santos,2023-24
2018-19-player-234,101668,Jamie Vardy,2018-19
2019-20-player-166,101668,Jamie Vardy,2019-20
2020-21-player-224,101668,Jamie Vardy,2020-21
2021-22-player-205,101668,Jamie Vardy,2021-22
2022-23-player-255,101668,Jamie Vardy,2022-23
2024-25-player-306,101668,Jamie Vardy,2024-25
2020-21-player-417,101982,Sam Johnstone,2020-21
2022-23-player-175,101982,Sam Johnstone,2022-23
2023-24-player-230,101982,Sam Johnstone,2023-24
2024-25-player-204,101982,Sam Johnstone,2024-25
2025-26-player-627,101982,Sam Johnstone,2025-26
2018-19-player-437,102057,Raúl Jiménez,2018-19
2019-20-player-409,102057,Raúl Jiménez,2019-20
2020-21-player-460,102057,Raúl Jiménez,2020-21
