season_id,position,prize_amount
2018-19,1,140
2018-19,2,90
2018-19,3,65
2018-19,4,45
2018-19,5,35
2018-19,6,25
2019-20,1,140
2019-20,2,90
2019-20,3,65
2019-20,4,45
2019-20,5,35
2019-20,6,25
2020-21,1,140
2020-21,2,90
2020-21,3,60
2020-21,4,35
2020-21,5,25
2021-22,1,140
2021-22,2,85
2021-22,3,60
2021-22,4,40
2021-22,5,25
2022-23,1,150
2022-23,2,100
2022-23,3,60
2022-23,4,40
2022-23,5,25
2023-24,1,150
2023-24,2,100
2023-24,3,75
2023-24,4,50
2023-24,5,25
2024-25,1,150
2024-25,2,90
2024-25,3,70
2024-25,4,40
2024-25,5,25
2025-26,1,150
2025-26,2,90
2025-26,3,70
2025-26,4,40
2025-26,5,25
