season_id,start_date,end_date,last_gw_synced,closed,show_in_dashboard,last_synced_at
2009-10,2009-08-15,2010-05-09,38,true,true,
2010-11,2010-08-14,2011-05-22,38,true,true,
2011-12,2011-08-13,2012-05-13,38,true,true,
2012-13,2012-08-18,2013-05-19,38,true,true,
2013-14,2013-08-17,2014-05-11,38,true,true,
2014-15,2014-08-16,2015-05-24,38,true,true,
2015-16,2015-08-08,2016-05-17,38,true,true,
2016-17,2016-08-13,2017-05-21,38,true,true,
2017-18,2017-08-11,2018-05-13,38,true,true,
2018-19,2018-08-10,2019-05-12,38,true,true,
2019-20,2019-08-09,2020-07-26,47,true,true,
2020-21,2020-09-12,2021-05-23,38,true,true,
2021-22,2021-08-13,2022-05-22,38,true,true,
2022-23,2022-08-05,2023-05-28,38,true,true,
2023-24,2023-08-11,2024-05-19,38,true,true,
2024-25,2024-08-16,2025-05-25,38,true,true,
2025-26,2025-08-15,2026-05-24,38,true,true,
2026-27,2026-08-22,2027-05-30,38,false,true,2026-08-18T06:49:39.024326+00:00
